Unidad,Ciclo,AjOp_1,AjOp_2,AjOp_3,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22,Sensor_23
1,11,0.0026,-0.0002,100,518.67,1582.38,522.23,100,554.3,1391.88,1.3,2388.01,14.62,9068.24,9.06824,23.4127,8.4235,47.35,0.295418037,392,2388.03,2388,642.28,8144.53,0.03,38.97,21.61
1,12,-0.0036,-0.0004,100,518.67,1583.24,522.13,100,554.35,1397.74,1.3,2388.04,14.62,9075.26,9.07526,23.366,8.359,47.26,9.52E-05,392,2387.98,2388,641.88,8149.04,0.03,39.09,21.6
1,13,-0.0011,0.0001,100,518.67,1589.68,522.06,100,554.52,1395.55,1.3,2387.98,14.62,9066.53,9.06653,23.4273,8.3821,47.14,0.799300993,391,2388.02,2388,641.92,8151.88,0.03,39.04,21.61
1,14,0.0009,0.0001,100,518.67,1587.29,522.54,100,555.17,1400.9,1.3,2388.02,14.62,9067.34,9.06734,23.386,8.4277,47.28,0.940905082,390,2387.97,2388,642.66,8148.13,0.03,39.03,21.61
1,15,-0.005,0.0004,100,518.67,1580.8,522.72,100,553.96,1396.5,1.3,2387.95,14.62,9069.89,9.06989,23.4556,8.4007,47.29,0.127127295,390,2388,2388,642.34,8150.63,0.03,39.02,21.61
1,16,0.0024,0.0003,100,518.67,1587.32,522.28,100,553.82,1395.49,1.3,2388.02,14.62,9071.14,9.07114,23.3717,8.4197,47.14,0.187111275,391,2387.98,2388,641.68,8147.5,0.03,38.96,21.6
1,17,-0.0019,0.0001,100,518.67,1591.12,521.98,100,555.06,1395.08,1.3,2388,14.62,9060.74,9.06074,23.3718,8.3761,47,0.523197279,393,2387.93,2388,641.9,8154.66,0.03,39.04,21.61
1,18,-0.0036,0.0002,100,518.67,1578.96,522.2,100,554.21,1402.24,1.3,2387.97,14.62,9075.87,9.07587,23.5448,8.4205,47.2,0.576092109,392,2388.01,2388,642.39,8151.19,0.03,39.12,21.61
1,19,-0.001,0,100,518.67,1584.04,522.04,100,554.59,1398.85,1.3,2387.98,14.62,9074.41,9.07441,23.408,8.3727,47.16,0.784812331,391,2387.98,2388,642.3,8154.65,0.03,39.01,21.61
1,20,-0.0028,0.0004,100,518.67,1579.65,523.02,100,554.49,1395.59,1.3,2387.97,14.62,9071.28,9.07128,23.4903,8.4252,47.16,0.614677358,391,2388.03,2388,642.26,8146.24,0.03,38.87,21.61
1,21,0.0001,-0.0002,100,518.67,1590.18,522.77,100,554,1398.01,1.3,2387.99,14.62,9074.66,9.07466,23.5088,8.422,47.26,0.881608577,391,2388.01,2388,642.62,8148.33,0.03,38.92,21.61
1,22,0.0011,0.0004,100,518.67,1586.21,522.68,100,554.51,1397.07,1.3,2387.98,14.62,9075.72,9.07572,23.3533,8.4134,47.32,0.155791656,392,2388.03,2388,642.13,8152.3,0.03,39.02,21.61
1,23,-0.0057,-0.0001,100,518.67,1586.03,521.82,100,554.36,1394.01,1.3,2387.99,14.62,9068.45,9.06845,23.4476,8.3946,47.17,0.209946853,391,2388.03,2388,642.05,8153.47,0.03,39.06,21.61
1,24,0.0057,0.0002,100,518.67,1585.13,522.59,100,554.39,1394.81,1.3,2387.96,14.62,9072.51,9.07251,23.4648,8.4162,47.41,0.016624075,391,2388.02,2388,642.02,8154.84,0.03,39.07,21.61
1,25,-0.0009,-0.0004,100,518.67,1586.82,522.08,100,553.81,1406.62,1.3,2387.99,14.62,9076.1,9.0761,23.3842,8.3952,47.31,0.90442512,391,2388.04,2388,,8154.5,0.03,38.85,21.61
1,26,0.0009,-0.0001,100,518.67,1585.26,522.06,100,554.79,1398.77,1.3,2387.98,14.62,9065.37,9.06537,23.3681,8.3937,47.28,0.698869602,392,2388.02,2388,,8150.15,0.03,38.93,21.6
1,27,0.0005,-0.0001,100,518.67,1582.77,522.08,100,554.18,1400.16,1.3,2387.98,14.62,9065.21,9.06521,23.3763,8.4132,47.33,0.430811678,390,2388.03,2388,,8148.77,0.03,39.06,21.61
1,28,-0.0006,0.0004,100,518.67,1578.4,522.19,100,554.66,1400.24,1.3,2387.99,14.62,9055.81,9.05581,23.4666,8.4243,47.17,0.122617046,391,2388.04,2388,643.01,8149.12,0.03,39.02,21.61
1,29,-0.0012,-0.0001,100,518.67,1587.5,521.81,100,554.1,1393.05,1.3,2387.97,14.62,9068.18,9.06818,23.4538,8.4001,47.22,0.560943262,393,2388.01,2388,642.04,8153.95,0.03,39.04,21.61
1,30,-0.0016,-0.0004,100,518.67,1586.99,522.45,100,554.78,1396.67,1.3,2388.03,14.62,9068.92,9.06892,23.4103,8.4513,47.34,0.224058532,392,2387.97,2388,642.53,8149.55,0.03,39.12,21.6
1,31,-0.0004,0.0001,100,518.67,1586.13,522.35,100,553.71,1397.47,1.3,2387.95,14.62,9063.81,9.06381,23.4302,8.3766,47.24,0.486790369,390,2388.01,2388,642.32,8150.74,0.03,39.2,21.61
,32,0.0018,-0.0005,100,518.67,1587.7,522.72,100,555.28,1392.44,1.3,2388.03,14.62,9066.15,9.06615,23.3631,8.4155,47.17,0.78535654,391,2387.96,2388,642.11,8151.57,0.03,39.02,21.61
1,33,0.0026,-0.0003,100,518.67,1579.54,521.95,100,554.2,1399.94,1.3,2388,14.62,9059.84,9.05984,23.4065,8.4126,47.27,0.964046449,392,2388,2388,642.49,8154.7,0.03,39.16,21.61
1,34,-0.0024,-0.0002,100,518.67,1586.42,522.03,100,554.28,1403.41,1.3,2387.96,14.62,9068.03,9.06803,23.4787,8.4218,47.47,0.107961529,391,2388.02,2388,642.21,8146.6,0.03,39.02,21.61
1,35,-0.0055,0.0003,100,518.67,1590.74,522.09,100,553.75,1396.33,1.3,2388.03,14.62,9069.69,9.06969,23.2894,8.4268,47.55,0.859232161,392,2388.02,2388,641.8,8148.97,0.03,38.9,21.61
1,36,0.0012,-0.0004,100,518.67,1581.86,522.22,100,554.85,1395.89,1.3,2388.02,14.62,9067.31,9.06731,23.5297,8.4141,47.32,0.224771755,393,2388.03,2388,642.45,8146.41,0.03,38.91,21.61
1,37,-0.004,-0.0001,100,518.67,1588.99,522.58,100,554.82,1396.98,1.3,2387.95,14.62,9073.55,9.07355,23.4539,8.3305,47.33,0.040360465,393,2388.02,2388,642.06,8151.59,0.03,39.03,21.61
1,38,0.004,-0.0004,100,518.67,1588.71,522.62,100,555.03,1401.57,1.3,2388.01,14.62,9071.77,9.07177,23.4252,8.3718,47.3,0.358668371,392,2387.98,2388,642.49,8148.72,0.03,38.83,21.61
1,39,0.0065,0,100,518.67,1578.79,522.26,100,554.31,1400.48,1.3,2388.02,14.62,9074.51,9.07451,23.3543,8.4005,47.19,0.773818921,392,2387.99,2388,641.6,8155.39,0.03,38.91,21.61
1,40,0.0007,-0.0002,100,518.67,1583.9,522.47,100,554.51,1395.26,1.3,2387.96,14.62,9069.77,9.06977,23.4083,8.3948,47.24,0.060830624,394,2388.02,2388,642.22,8150.31,0.03,38.94,21.61
1,41,-0.0014,-0.0002,100,518.67,1582.54,522.45,100,554.61,1400.72,1.3,2387.97,14.62,9072.56,9.07256,23.3239,8.3559,47.32,0.971548315,392,2387.97,2388,641.96,8151.32,0.03,39.07,21.6
1,42,0.0018,-0.0002,100,518.67,1584.71,522.2,100,554.31,1403.21,1.3,2388,14.62,9071.68,9.07168,23.4382,8.4148,47.26,0.968548025,392,2387.97,2388,642.06,8148.7,0.03,38.86,21.61
1,43,0.0009,0.0004,100,518.67,1581.49,522.42,100,553.96,1399.38,1.3,2387.96,14.62,9072.52,9.07252,23.4357,8.4327,47.1,0.38827524,392,2387.98,2388,642.71,8144.75,0.03,39.14,21.61
1,44,0.002,0.0001,100,518.67,1585.54,522.78,100,552.85,1407.66,1.3,2387.99,14.62,9068.1,9.0681,23.3515,8.4334,47.26,0.982244331,389,2387.94,2388,642.69,8149.9,0.03,39.17,21.61
1,45,0.0019,0.0001,100,518.67,1584.23,522.56,100,554.23,1407.95,1.3,2387.96,14.62,9066.98,9.06698,23.3131,8.4343,47.17,0.329945431,391,2387.98,2388,642.56,8153.01,0.03,39.01,21.61
1,46,-0.0037,0.0003,100,518.67,1582.9,522.04,100,554.61,1400.5,1.3,2388.06,14.62,9071.26,9.07126,23.5009,8.4268,47.21,0.12881784,392,2388.04,2388,642.02,8145.17,0.03,38.88,21.61
1,47,-0.0019,0.0003,100,518.67,1592.1,522.03,100,554.11,1398.26,1.3,2388.01,14.62,9073.71,9.07371,23.269,8.3755,47.28,0.758803209,392,2387.97,2388,642.6,8150.46,0.03,39.14,21.61
1,48,0.0003,0,100,518.67,1583.27,522.29,100,554.16,1399.17,1.3,2388.02,14.62,9066.97,9.06697,23.3188,8.3998,47.27,0.373821407,394,2388.04,2388,642.44,8150.94,0.03,39.02,21.61
1,49,0.003,-0.0004,100,518.67,1586.75,521.94,100,553.91,1393.83,1.3,2388.04,14.62,9076.18,9.07618,23.3822,8.3804,47.28,0.51917222,390,2388.01,2388,642.37,8149.51,0.03,38.92,21.61
1,50,-0.0008,0.0004,100,518.67,1590.26,522.01,100,554.27,1398.51,1.3,2387.98,14.62,9068.53,9.06853,23.3748,8.4073,47.08,0.592619684,392,2388.04,2388,642.41,8148.25,0.03,38.97,21.61
1,51,-0.0012,0,100,518.67,1587.71,522.4,100,554.71,1390.26,1.3,2387.99,14.62,9067.59,9.06759,23.4784,8.3567,47.21,0.975677695,391,2387.98,2388,642.2,8153,0.03,38.9,21.61
1,52,0.0002,0.0003,100,518.67,1583.3,521.69,100,554.09,1403.78,1.3,2387.97,14.62,9063.21,9.06321,23.3179,8.3914,47.24,0.821582981,391,2387.93,2388,642.61,8150.07,0.03,38.97,21.61
1,53,0.0006,-0.0002,100,518.67,1583.03,522.4,100,553.12,1400.06,1.3,2388.03,14.62,9064.82,9.06482,23.439,8.411,47.34,0.608506684,391,2388.04,2388,,8150.1,0.03,38.91,21.61
1,54,0.0007,-0.0004,100,518.67,1584.68,522.28,100,554.8,1406.3,1.3,2388.03,14.62,9068.35,9.06835,23.4086,8.4074,47.22,0.987911486,392,2388.04,2388,642.48,8145.58,0.03,38.99,21.61
1,55,0.0002,0.0004,100,518.67,1587.23,522.42,100,554.56,1401.26,1.3,2388.01,14.62,9066.05,9.06605,23.4395,8.4106,47.12,0.479801605,391,2388.02,2388,642.25,8150.6,0.03,38.93,21.61
1,56,0.0008,0,100,518.67,1585.25,522.67,100,554.24,1396.05,1.3,2388.01,14.62,9067.08,9.06708,23.4014,8.4308,47.07,0.687195106,394,2388.03,2388,642.79,8148.37,0.03,38.96,21.6
1,57,-0.0024,-0.0003,100,518.67,1586.13,522.14,100,554.29,1396.03,1.3,2387.97,14.62,9074.48,9.07448,23.4644,8.3816,47.11,0.328200152,391,2387.99,2388,642.47,8148.7,0.03,39,21.61
1,58,-0.0043,-0.0001,100,518.67,1587.55,521.89,100,553.84,1402.61,1.3,2387.98,14.62,9068.44,9.06844,23.353,8.4089,47.17,0.824199335,393,2388.05,2388,641.98,8148.44,0.03,39.2,21.61
1,59,0.0002,0,100,518.67,1589.14,522.84,100,554.48,1405.41,1.3,2387.96,14.62,9066.73,9.06673,23.4888,8.4339,47.24,0.018631099,393,2388.01,2388,642.01,8151.41,0.03,38.98,21.61
1,60,-0.0001,-0.0003,100,518.67,1578.91,522.32,100,554.16,1406.32,1.3,2388.03,14.62,9069.03,9.06903,23.3179,8.3837,47.31,0.096672517,392,2387.98,2388,642.52,8148.29,0.03,38.99,21.61
1,61,0.003,-0.0004,100,518.67,1584.13,522.28,100,554.09,1400.11,1.3,2388.01,14.62,9075.7,9.0757,23.4228,8.3578,47.23,0.632392455,391,2387.98,2388,641.97,8152.04,0.03,39.19,21.61
1,62,0.0031,-0.0004,100,518.67,1593.91,522.33,100,554.15,1397.99,1.3,2388.04,14.62,9067.62,9.06762,23.3841,8.4285,47.25,0.627292215,390,2388.02,2388,642.47,8150.95,0.03,38.91,21.61
1,63,0.0008,-0.0002,100,518.67,1583.91,522.76,100,554.73,1403.75,1.3,2388.01,14.62,9065.3,9.0653,23.4328,8.3982,47.32,0.631762234,391,2388.04,2388,641.82,8151.24,0.03,38.98,21.61
1,64,-0.0006,0.0002,100,518.67,1589.38,522.81,100,554.89,1399.53,1.3,2388,14.62,9072.87,9.07287,23.3717,8.4168,47.34,0.570274166,391,2387.98,2388,642.49,8146.73,0.03,38.92,21.61
1,65,-0.0035,-0.0003,100,518.67,1589.05,522.59,100,554.01,1391.23,1.3,2387.96,14.62,9068,9.068,23.4992,8.398,47.31,0.162482706,391,2387.97,2388,642.15,8153.43,0.03,39.07,21.61
1,66,0,-0.0002,100,518.67,1586.02,521.68,100,554.5,1397.9,1.3,2387.97,14.62,9072.46,9.07246,23.2868,8.4487,47.36,0.984629841,391,2387.99,2388,642.16,8147.89,0.03,39.03,21.61
1,67,0.0005,0,100,518.67,1585.57,521.77,100,554.3,1399.69,1.3,2388.03,14.62,9072.09,9.07209,23.2883,8.4355,47.36,0.735187565,391,2388.03,2388,642.01,8152.11,0.03,38.79,21.61
1,68,0.0006,-0.0005,100,518.67,1580.92,521.81,100,554.2,1401.99,1.3,2388.04,14.62,9072.69,9.07269,23.4363,8.4185,47.35,0.030434611,391,2387.95,2388,642.07,8142.59,0.03,38.97,21.61
1,69,0.0002,0.0001,100,518.67,1589.68,522.55,100,553.99,1399.78,1.3,2388.05,14.62,9068.54,9.06854,23.3217,8.4486,47.11,0.236125083,392,2388.05,2388,642.88,8153.08,0.03,39.07,21.61
1,70,-0.002,-0.0005,100,518.67,1591.65,522.22,100,554.43,1401.42,1.3,2388.02,14.62,9071.32,9.07132,23.3813,8.4294,47.26,0.414701842,393,2388.05,2388,642.34,8148.04,0.03,39.14,21.61
1,71,0.0032,0.0004,100,518.67,1583.72,522.21,100,553.97,1397.76,1.3,2388.03,14.62,9073.21,9.07321,23.4798,8.4168,47.19,0.673442615,391,2387.98,2388,642.58,8145.76,0.03,39.13,21.61
1,72,0.0012,0.0002,100,518.67,1582.17,522.23,100,554.38,1402.51,1.3,2388.02,14.62,9076.78,9.07678,23.3875,8.4528,47.26,0.040283672,392,2388.06,2388,641.91,8144.3,0.03,39.04,21.61
1,73,-0.0004,-0.0004,100,518.67,1586.87,522.23,100,554.42,1397.72,1.3,2388.04,14.62,9073.4,9.0734,23.3951,8.4825,47.34,0.081529493,393,2388.03,2388,642.02,8148.12,0.03,39.05,21.61
1,74,-0.0004,-0.0001,100,518.67,1583.99,522.22,100,554.14,1399.91,1.3,2388.01,14.62,9065.14,9.06514,23.3814,8.428,47.22,0.997945743,393,2388.01,2388,641.86,8151.44,0.03,39.02,21.61
1,75,-0.001,0.0004,100,518.67,1587.16,522.32,100,553.64,1396.3,1.3,2388,14.62,9064.8,9.0648,23.4318,8.3836,47.19,0.248730681,393,2387.98,2388,642.22,8150.37,0.03,39.02,21.61
1,76,0.0017,0,100,518.67,1586.17,522.64,100,554.37,1400.01,1.3,2387.98,14.62,9068.07,9.06807,23.3529,8.4061,47.15,0.341069893,392,2388.02,2388,642.85,8155.63,0.03,38.77,21.61
1,77,-0.0072,-0.0001,100,518.67,1581.99,521.91,100,554.14,1399.58,1.3,2388,14.62,9070.8,9.0708,23.3415,8.3727,47.29,0.553105638,391,2388.08,2388,642.02,8148.31,0.03,38.96,21.61
1,78,0,0.0001,100,518.67,1578.35,522.15,100,554.23,1400.19,1.3,2388.01,14.62,9074.23,9.07423,23.4148,8.4288,47.22,0.655143794,391,2388.09,2388,642.86,8153.43,0.03,38.88,21.61
1,79,0.0008,0.0003,100,518.67,1583.5,522.01,100,553.98,1400.42,1.3,2388.02,14.62,9070.53,9.07053,23.4047,8.3895,47.08,0.912181117,391,2388.03,2388,,8150.68,0.03,38.99,21.61
1,80,0.0028,0.0003,100,518.67,1586.62,521.93,100,554.63,1393.1,1.3,2388.01,14.62,9067.76,9.06776,23.458,8.408,47.22,0.312976482,393,2387.98,2388,641.53,8153,0.03,38.85,21.61
1,81,0.0021,0,100,518.67,1581.98,522.32,100,553.72,1402.49,1.3,2388.02,14.62,9070.82,9.07082,23.4212,8.4433,47.02,0.535933694,394,2388.06,2388,642.13,8153.66,0.03,38.94,21.61
1,82,-0.0018,-0.0005,100,518.67,1587.08,522.19,100,554.5,1402.42,1.3,2388.02,14.62,9064.56,9.06456,23.3853,8.4196,47.19,0.767190448,393,2388.05,2388,642.55,8151.48,0.03,39.12,21.61
1,83,-0.0053,-0.0004,100,518.67,1587.23,521.93,100,555.2,1401.86,1.3,2388.01,14.62,9063.6,9.0636,23.3097,8.3843,47.25,0.33625056,393,2388.04,2388,641.85,8152.49,0.03,39,21.61
1,84,0.0035,0.0001,100,518.67,1585.55,521.97,100,554.75,1398.99,1.3,2388.03,14.62,9066.72,9.06672,23.3584,8.3854,47.27,0.451194636,390,2388.07,2388,641.94,8153.01,0.03,38.98,21.61
1,85,0.0003,-0.0004,100,518.67,1587.23,522.11,100,553.87,1399.21,1.3,2388.02,14.62,9070.36,9.07036,23.4284,8.4385,47.43,0.045998649,395,2388.04,2388,642.57,8149.97,0.03,38.96,21.61
1,86,-0.0012,0.0003,100,518.67,1590.38,522.02,100,554.77,1403.18,1.3,2388.02,14.62,9065.76,9.06576,23.4409,8.4299,47.34,0.692550926,393,2387.96,2388,642.07,8145.53,0.03,38.88,21.61
1,87,-0.004,0.0001,100,518.67,1584.76,521.75,100,553.7,1399.41,1.3,2388.05,14.62,9066.48,9.06648,23.4712,8.4388,47.46,0.633038218,392,2388.05,2388,642.27,8155.21,0.03,39.02,21.61
1,88,0.0006,0.0004,100,518.67,1587.88,522.05,100,553.85,1396.91,1.3,2387.99,14.62,9067.25,9.06725,23.3099,8.4211,47.23,0.387533408,392,2388.01,2388,641.46,8145.17,0.03,39.08,21.61
1,89,0.0001,-0.0002,100,518.67,1593.73,522.79,100,555.48,1406.77,1.3,2388.06,14.62,9069.17,9.06917,23.4671,8.4099,47.18,0.591065087,392,2388.02,2388,642.67,8149.34,0.03,38.88,21.61
1,90,-0.0011,-0.0002,100,518.67,1581.98,522.08,100,554.22,1398.82,1.3,2388.03,14.62,9077.2,9.0772,23.3154,8.3848,47.34,0.871860556,392,2387.99,2388,642.33,8153.72,0.03,39.03,21.61
1,91,-0.002,-0.0004,100,518.67,1592.53,522.34,100,554.64,1406.11,1.3,2388.02,14.62,9063.78,9.06378,23.3784,8.3901,47.37,0.769265032,394,2388.05,2388,642.58,8144.94,0.03,38.92,21.61
1,92,0.0016,-0.0004,100,518.67,1587.25,522.04,100,553.74,1398.36,1.3,2388,14.62,9076.64,9.07664,23.3472,8.3986,47.32,0.161899005,393,2387.98,2388,641.88,8140.49,0.03,38.92,21.61
1,93,0.0019,-0.0001,100,518.67,1581.57,522.15,100,554.65,1403.57,1.3,2388.05,14.62,9074.6,9.0746,23.3151,8.3652,47.43,0.810630442,392,2388,2388,642.59,8152.64,0.03,38.95,21.61
1,94,0.0029,0.0002,100,518.67,1585.22,522.4,100,554.19,1394.97,1.3,2387.97,14.62,9071.37,9.07137,23.247,8.3962,47.09,0.061060001,392,2388.02,2388,642.7,8151.88,0.03,38.9,21.6
1,95,0.0027,-0.0001,100,518.67,1577.32,522.18,100,554.29,1406,1.3,2388.02,14.62,9067.45,9.06745,23.3817,8.4321,47.31,0.806880585,392,2388.02,2388,642.8,8150.69,0.03,38.93,21.61
1,96,-0.0028,0.0003,100,518.67,1587.08,522.14,100,553.97,1398.42,1.3,2388.04,14.62,9066.45,9.06645,23.4411,8.4205,47.36,0.859945498,393,2388.05,2388,642.12,8152.69,0.03,38.78,21.61
1,97,0.0007,-0.0004,100,518.67,1584.55,522.43,100,554.57,1388.13,1.3,2388.07,14.62,9066.66,9.06666,23.363,8.4114,47.45,0.216306354,392,2388.05,2388,642.22,8145.15,0.03,38.85,21.61
1,98,-0.0009,0.0003,100,518.67,1583.35,522.14,100,553.88,1402.22,1.3,2388.1,14.62,9069.55,9.06955,23.4234,8.4121,47.34,0.975391556,393,2388.02,2388,642.17,8152.62,0.03,39.08,21.61
1,99,0.0012,0.0003,100,518.67,1584.77,522.13,100,554,1402.31,1.3,2388.04,14.62,9070.04,9.07004,23.3767,8.4409,47.22,0.7929169,393,2388.08,2388,642.83,8153.16,0.03,38.93,21.61
1,100,0.0011,0,100,518.67,1582.26,521.92,100,553.71,1402.79,1.3,2388.01,14.62,9065.77,9.06577,23.382,8.4052,47.52,0.871857606,392,2387.99,2388,642.11,8151.54,0.03,39.09,21.61
1,101,-0.0026,0.0005,100,,1586.4,522.16,100,554.66,1400.24,1.3,2388.01,14.62,9074.03,9.07403,23.4552,8.4032,47.21,0.0704604,391,2388.01,2388,642.62,8150.24,0.03,38.89,21.61
1,102,0.0019,-0.0002,100,,1588.28,522.27,100,554.91,1397.95,1.3,2387.99,14.62,9069.34,9.06934,23.3971,8.4182,47.25,0.694927952,392,2388.04,2388,642.22,8153.3,0.03,38.94,21.61
1,103,0.0023,-0.0004,100,,1591.43,522.1,100,553.81,1406.51,1.3,2388.05,14.62,9067.41,9.06741,23.3743,8.4188,47.33,0.009687177,391,2388.04,2388,642.34,8154.51,0.03,38.81,21.61
1,104,-0.0005,0.0005,100,,1586.31,522.14,100,554.11,1411.1,1.3,2388.04,14.62,9070.45,9.07045,23.3193,8.4575,47.26,0.923264846,393,2388.05,2388,643.15,8145.98,0.03,38.88,21.61
1,105,0.0001,0.0004,100,,1587.12,522.1,100,554.26,1395.09,1.3,2388.01,14.62,9063.92,9.06392,23.3032,8.3883,47.38,0.57577584,391,2388.09,2388,642.55,8147.9,0.03,38.97,21.61
1,106,0.0043,0.0001,100,,1590.93,521.92,100,553.8,1401.75,1.3,2388.05,14.62,9068.46,9.06846,23.3787,8.4153,47.28,0.551181173,394,2388.02,2388,641.93,8151.28,0.03,38.93,21.61
1,107,0.0048,-0.0001,100,,1588.34,521.95,100,554.27,1399.31,1.3,2388.08,14.62,9065.94,9.06594,23.28,8.4068,47.22,0.278655733,393,2388.03,2388,642.38,8150.44,0.03,38.9,21.61
1,108,-0.0006,-0.0005,100,,1590.93,521.95,100,554.16,1405.54,1.3,2388.02,14.62,9070.22,9.07022,23.2983,8.4414,47.14,0.061776934,392,2388,2388,642.56,8148.54,0.03,39.08,21.61
1,109,0.0014,0.0003,100,,1585.91,522.39,100,554.55,1397.9,1.3,2388.05,14.62,9076.76,9.07676,23.3321,8.4594,47.25,0.601162591,392,2387.99,2388,642.37,8152.41,0.03,39.01,21.61
1,110,-0.0066,-0.0004,100,,1591.36,521.86,100,553.78,1400.32,1.3,2387.99,14.62,9070.15,9.07015,23.3809,8.434,47.32,0.902290041,393,2388.04,2388,642.12,8149.36,0.03,39.04,21.61
1,111,-0.0028,-0.0005,100,,1587.4,522.25,100,554.03,1404.63,1.3,2387.98,14.62,9073.24,9.07324,23.3339,8.4093,47.19,0.495262499,392,2388.01,2388,642.06,8148.14,0.03,38.93,21.61
1,112,0.0017,-0.0001,100,,1589.21,522.62,100,553.84,1401.82,1.3,2388.08,14.62,9066.34,9.06634,23.4569,8.4442,47.15,0.581487439,393,2388.02,2388,641.88,8148.53,0.03,38.97,21.61
1,113,0.001,-0.0005,100,,1590.94,522.12,100,553.42,1395.41,1.3,2388.04,14.62,9070.28,9.07028,23.3987,8.4016,47.4,0.369845632,392,2388.06,2388,642.44,8150.81,0.03,38.87,21.6
1,114,0.0005,0.0002,100,,1585.1,521.97,100,554.29,1395.27,1.3,2388.06,14.62,9072.94,9.07294,23.2932,8.387,47.25,0.787882045,393,2388,2388,642.79,8150.61,0.03,39.13,21.61
1,115,-0.0006,-0.0004,100,,1580.37,521.25,100,554.09,1398.26,1.3,2388.02,14.62,9062.33,9.06233,23.3343,8.3845,47.39,0.542285337,393,2388.07,2388,642.25,8145.35,0.03,38.95,21.61
1,116,-0.001,0,100,,1581.54,522.16,100,554.13,1398.96,1.3,2387.98,14.62,9074.77,9.07477,23.3836,8.4266,47.39,0.127453492,393,2388.02,2388,642.39,8150,0.03,38.98,21.61
1,117,-0.0015,0.0003,100,,1581.85,521.47,100,553.83,1407.21,1.3,2388.05,14.62,9067.42,9.06742,23.3679,8.4409,47.26,0.419633592,391,2388.04,2388,642.77,8148.83,0.03,39.2,21.61
1,118,0.0029,-0.0004,100,,1590.7,521.79,100,554.57,1407.58,1.3,2388.05,14.62,9070.1,9.0701,23.2054,8.4276,47.12,0.08476347,392,2388.07,2388,642.38,8147.31,0.03,39.1,21.61
1,119,0.0007,-0.0005,100,,1583.7,521.82,100,554.05,1398.14,1.3,2388.03,14.62,9074.14,9.07414,23.3515,8.4109,47.38,0.139405746,391,2388.02,2388,641.92,8146.92,0.03,38.8,21.61
1,120,0.0017,0.0003,100,,1581.83,522.88,100,553.81,1400.56,1.3,2388.06,14.62,9070.68,9.07068,23.385,8.4025,47.32,0.375429501,393,2388.03,2388,642.02,8142.08,0.03,38.99,21.61
